"RwID","SOATO_U","UkrName","Popul97","UrbanPopul97","RuralPopul97"
1,"0500000000","Вінницька",1862200,886700,975500
2,"0700000000","Волинська",1071800,556400,515400
3,"0900000000","Луганська",2743000,2370000,373000
4,"1200000000","Дніпропетровська",3811200,3185200,626000
5,"1400000000","Донецька",5125400,4626700,498700
6,"2100000000","Закарпатська",1288600,503300,785300
7,"2300000000","Запорізька",2059200,1574600,484600
8,"2600000000","Івано-Франківська",1465600,635200,830400
9,"3000000000","м.Київ",0,0,0
10,"3500000000","Кіровоградська",1211200,740900,470300
11,"4000000000","Севастополь (міськрада)",0,0,0
12,"4300000000","Автономна республіка Крим",2179000,1370200,808800
13,"4600000000","Львівська",2750600,1674100,1076500
14,"4800000000","Миколаївська",1332100,880800,451300
15,"5100000000","Одеська",2566800,1688900,877900
16,"5300000000","Полтавська",1723900,1007100,716800
17,"5600000000","Рівненська",1192500,567200,625300
18,"5900000000","Сумська",1384300,893500,490800
19,"6100000000","Тернопільська",1172300,512000,660300
20,"6300000000","Харківська",3055100,2409000,646100
21,"6500000000","Херсонська",1255100,772100,483000
22,"6800000000","Хмельницька",1498400,777600,720800
23,"7100000000","Черкаська",1491100,816400,674700
24,"7400000000","Чернігівська",1333400,766600,566800
25,"7700000000","Чернівецька",940800,401200,539600
26,"3200000000","Київська",1880400,1078100,802300
27,"0100000000","Територія, яка перебуває під особливим управлінням",0,0,0
28,"1800000000","Житомирська",1474300,821300,653000
