"RwID","SOATO_U","UkrName"
1,"0540100000","Вінниця"
2,"0740100000","Луцьк"
3,"0940100000","Луганськ"
4,"1240100000","Дніпропетровськ"
5,"1440100000","Донецьк"
6,"1840100000","Житомир"
7,"2140100000","Ужгород"
8,"2340100000","Запоріжжя"
9,"2640100000","Івано-Франківськ"
10,"3540100000","Кіровоград"
11,"4340100000","Сімферополь"
12,"4640100000","Львів"
13,"4840100000","Миколаїв"
14,"5140100000","Одеса"
15,"5340100000","Полтава"
16,"5640100000","Рівне"
17,"5940100000","Суми"
18,"6140100000","Тернопіль"
19,"6340100000","Харків"
20,"6840100000","Хмельницький"
21,"7140100000","Черкаси"
22,"7440100000","Чернігів"
23,"7740100000","Чернівці"
24,"3000000000","Київ"
25,"6540100000","Херсон"
26,"4000000000","Севастополь"
