"ID","SOATO_U","UkrName","RusName","EngName","CenterUkr","CenterSOAT","NPopul05","NPopulU05","NPopulR05","Ratio","Date","Liq1","Liq2","Liq3","Wreck1","Wreck2","Wreck3","Wreck4","Pilg","Child","Total","PPopul05","PPopulU05","PPopulR05"
1,"0500000000","Вінницька","Винницкая","Vinnyts'ka","Вінниця","0540100000",1701.6,811.9,889.7,66.256,20060101,1464,3196,1363,1423,771,983,78995,22,24524,112741,1694.5,802.9,891.6
2,"0700000000","Волинська","Волынская","Volyns'ka","Луцьк","0740100000",1040.4,527.2,513.2,148.7,20060101,610,1756,849,2608,498,100904,86,4,47393,154708,1037.7,521.2,516.5
3,"0900000000","Луганська","Луганская","Luhans'ka","Луганськ","0940100000",2409.1,2081.1,328,7.396,20060101,3840,5427,2476,76,366,774,0,6,4852,17817,2404.5,2075.2,329.3
4,"1200000000","Дніпропетровська","Днепропетровская","Dnipropеtrovs'ka","Дніпропетровськ","1240100000",3447.2,2874.1,573.1,8.78,20060101,2336,12061,3972,246,1664,2049,0,16,7923,30267,3443.9,2868.1,575.8
5,"1400000000","Донецька","Донецкая","Donеts'ka","Донецьк","1440100000",4622.9,4176.1,446.8,6.255,20060101,6400,8713,3589,293,1171,1242,48,16,7442,28914,4610,4160.2,449.8
6,"1800000000","Житомирська","Житомирская","Zhytomyrs'ka","Житомир","1840100000",1330.1,755.2,574.9,279.76,20060101,1415,9333,1309,7038,10729,144006,113252,1109,83918,372109,1330.8,753,577.8
7,"2100000000","Закарпатська","Закарпатская","Zakarpats'ka","Ужгород","2140100000",1245.5,461.8,783.7,4.561,20060101,178,1925,774,44,229,452,63,0,2016,5681,1242.6,456.6,786
8,"2300000000","Запорізька","Запорожская","Zaporiz'ka","Запоріжжя","2340100000",1861,1418.8,442.2,6.032,20060101,781,3892,850,113,1277,1197,20,1,3095,11226,1860.2,1414.8,445.4
9,"2600000000","Івано-Франківська","Ивано-Франковская","Ivano-Frankivs'ka","Івано-Франківськ","2640100000",1388.9,591.3,797.6,9.509,20060101,693,1856,782,195,341,296,5069,0,3975,13207,1386.2,585,801.2
10,"3000000000","м.Київ","г.Киев","m.Kyiv","Київ","3000000000",2693.2,2693.2,0,36.896,20060101,14939,35363,7822,2165,15010,2064,3074,494,18438,99369,0,0,0
11,"3200000000","Київська","Киевская","Kyivs'ka","Київ","3000000000",1763.8,1049.7,714.1,474.066,20060101,11679,40178,7643,13503,28457,19821,547987,47,166842,836157,1758,1038.6,719.4
12,"3500000000","Кіровоградська","Кировоградская","Kirovohrads'ka","Кіровоград","3540100000",1067.2,651.6,415.6,15.24,20060101,1215,5389,2405,50,1025,1150,150,24,4856,16264,1060.8,645.6,415.2
13,"4000000000","м.Севастополь","Севастополь (горсовет)","Sеvastopol'","Севастополь","4000000000",379.1,356.7,22.4,5.626,20060101,103,601,316,32,186,318,116,0,461,2133,0,0,0
14,"4300000000","Автономна Республіка Крим","Автономная республика Крым","Avtonomna rеspublika Krym","Сімферополь","4340100000",1983.8,1248.6,735.2,4.702,20060101,892,2390,688,267,869,1441,29,64,2687,9327,1975.1,1233.8,741.3
15,"4600000000","Львівська","Львовская","L'vivs'ka","Львів","4640100000",2577.1,1549.5,1027.6,4.828,20060101,1041,3861,924,285,765,1093,89,114,4269,12441,2558.8,1526.5,1032.3
16,"4800000000","Миколаївська","Николаевская","Mykolaivs'ka","Миколаїв","4840100000",1219.6,818.3,401.3,7.338,20060101,239,2556,573,80,1018,1722,4,4,2754,8950,1218.9,815.4,403.5
17,"5100000000","Одеська","Одесская","Odеs'ka","Одеса","5140100000",2402.2,1587.7,814.5,4.476,20060101,1789,3083,432,621,605,913,146,87,3077,10753,2391.2,1569.4,821.8
18,"5300000000","Полтавська","Полтавская","Poltavs'ka","Полтава","5340100000",1554.9,930.6,624.3,18.921,20060101,1674,10572,964,190,1685,4825,111,18,9381,29420,1547,918.8,628.2
19,"5600000000","Рівненська","Ровенская","Rivnеns'ka","Рівне","5640100000",1156.5,546.5,610,350.624,20060101,835,3562,953,5234,2546,171346,97719,21,123281,405497,1155.4,541.2,614.2
20,"5900000000","Сумська","Сумская","Sums'ka","Суми","5940100000",1226.3,808.7,417.6,16.528,20060101,1044,5698,2567,280,1023,2607,1405,25,5619,20268,1224.2,804.3,419.9
21,"6100000000","Тернопільська","Тернопольская","Tеrnopil's'ka","Тернопіль","6140100000",1112.1,476.9,635.2,48.965,20060101,383,2036,707,386,402,598,37630,2,12310,54454,1108.9,472.2,636.7
22,"6300000000","Харківська","Харьковская","Кharkivs'ka","Харків","6340100000",2829,2242.8,586.2,9.696,20060101,5241,6401,2928,583,1741,3182,32,2,7319,27429,2813.4,2223.1,590.3
23,"6500000000","Херсонська","Херсонская","Кhеrsons'ka","Херсон","6540100000",1126.5,681.5,445,7.751,20060101,482,1922,582,235,760,2121,48,4,2578,8732,1125,678.2,446.8
24,"6800000000","Хмельницька","Хмельницкая","Кhmеl'nyts'ka","Хмельницький","6840100000",1373.4,723.3,650.1,10.003,20060101,833,3585,1155,288,930,895,2228,28,3796,13738,1370.3,717.7,652.6
25,"7100000000","Черкаська","Черкасская","Chеrkas'ka","Черкаси","7140100000",1341.5,737.1,604.4,114.847,20060101,2333,6524,2346,2756,1582,3432,101158,6,33930,154067,1337.8,731.5,606.3
26,"7400000000","Чернігівська","Черниговкая","Chеrnihivs'ka","Чернігів","7440100000",1168.4,704.3,464.1,97.06,20060101,2504,7397,2623,2569,1721,8799,62477,414,24901,113405,1159.9,694.1,465.8
27,"7700000000","Чернівецька","Черновицкая","Chеrnivеts'ka","Чернівці","7740100000",908.2,373,535.2,27.524,20060101,238,1890,754,83,277,2568,13086,78,6023,24997,905.1,368,537.1
